draw,ev,natl,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,388,0.520522,0.483611,0.395352,0.426418,0.527237,0.635439,0.545922,0.610909,0.92448,0.673487,0.522905,0.509667,0.660722,0.450804,0.342769,0.628171,0.477366,0.493711,0.456388,0.47354,0.698962,0.68333,0.590792,0.569491,0.549078,0.472799,0.442016,0.460342,0.558807,0.391515,0.468118,0.585842,0.625619,0.528707,0.557235,0.61722,0.489698,0.41940499999999997,0.582153,0.522389,0.661707,0.488105,0.473888,0.457221,0.517846,0.40009,0.574386,0.699958,0.627388,0.554492,0.347356,0.313891
2,279,0.547084,0.407233,0.421657,0.373398,0.482031,0.654907,0.591788,0.638976,0.912021,0.627274,0.451409,0.513533,0.684395,0.509175,0.385437,0.538125,0.399131,0.390587,0.375477,0.397511,0.670008,0.620563,0.520693,0.493021,0.513894,0.430365,0.398969,0.413816,0.465438,0.356992,0.422546,0.543525,0.611192,0.544441,0.483985,0.657398,0.454839,0.337688,0.590903,0.52396,0.59411,0.439073,0.367426,0.382958,0.445298,0.412535,0.522113,0.636587,0.563301,0.503499,0.347716,0.297933
3,259,0.542453,0.441578,0.407101,0.379759,0.462992,0.639884,0.593961,0.632467,0.918489,0.624498,0.448343,0.493484,0.669484,0.515754,0.329509,0.556421,0.413625,0.411466,0.406489,0.400081,0.673187,0.649315,0.525454,0.497662,0.539939,0.42315,0.397833,0.411905,0.494899,0.337615,0.400393,0.52481,0.61034,0.538139,0.506802,0.651508,0.467673,0.326768,0.596496,0.516645,0.616203,0.404925,0.375233,0.387857,0.431972,0.383869,0.518678,0.62748,0.56275,0.465296,0.335241,0.323306
4,284,0.541599,0.419898,0.449067,0.387379,0.481728,0.642076,0.534554,0.602597,0.911581,0.664477,0.47671,0.478476,0.669915,0.437236,0.413016,0.586398,0.425477,0.472955,0.398318,0.390939,0.697667,0.66712,0.548591,0.528829,0.55044,0.422678,0.410304,0.429577,0.514289,0.358646,0.433734,0.533533,0.630825,0.583768,0.510083,0.640485,0.474587,0.382122,0.590076,0.545106,0.60288,0.446231,0.441313,0.37388,0.454224,0.379751,0.51762,0.650927,0.572205,0.493994,0.333385,0.28834
5,404,0.539229,0.467866,0.399118,0.448373,0.554947,0.633449,0.599417,0.655143,0.917488,0.642247,0.51199,0.531099,0.689048,0.546488,0.371396,0.587265,0.459741,0.469877,0.438312,0.492249,0.680153,0.678116,0.584426,0.559627,0.542327,0.500179,0.447287,0.4661,0.500636,0.401571,0.464155,0.558895,0.60306,0.516321,0.545054,0.673134,0.491496,0.410568,0.610083,0.522081,0.707088,0.454871,0.441427,0.477702,0.513469,0.436121,0.604859,0.700205,0.617939,0.580284,0.373037,0.350237
6,350,0.545982,0.463788,0.415053,0.396734,0.550498,0.673267,0.587552,0.585489,0.927172,0.64936,0.527628,0.517715,0.716581,0.447303,0.415734,0.613507,0.444806,0.438193,0.418531,0.420863,0.703239,0.632013,0.57627,0.500466,0.558187,0.418519,0.45769,0.459685,0.533752,0.408129,0.441036,0.570509,0.619524,0.60261,0.501909,0.611471,0.474748,0.398427,0.584659,0.552935,0.618173,0.496518,0.451893,0.395262,0.494732,0.479002,0.515772,0.681779,0.624007,0.509643,0.375263,0.368102
7,300,0.552901,0.430967,0.418165,0.430263,0.49365,0.636898,0.567617,0.677692,0.915889,0.657232,0.484025,0.477464,0.669044,0.551503,0.371022,0.559157,0.445647,0.476891,0.400517,0.464986,0.700028,0.701088,0.564917,0.562881,0.523938,0.487101,0.397579,0.437066,0.519321,0.388984,0.441275,0.556058,0.636038,0.506086,0.564484,0.679128,0.489036,0.393017,0.63322,0.516355,0.694371,0.455439,0.412737,0.431711,0.48657,0.383832,0.605278,0.662232,0.612769,0.55391,0.335707,0.308334
8,335,0.528773,0.453819,0.422974,0.422533,0.548231,0.667939,0.599125,0.591785,0.931734,0.63396,0.540648,0.531621,0.68337,0.491587,0.406,0.603016,0.478287,0.450346,0.444078,0.443627,0.708748,0.665988,0.57498,0.521228,0.541685,0.404489,0.445696,0.436113,0.49526,0.370556,0.449228,0.540334,0.636084,0.577325,0.569246,0.613511,0.482604,0.41165,0.608784,0.543831,0.635954,0.489244,0.433839,0.428553,0.455808,0.450412,0.562968,0.67039,0.608209,0.525717,0.365056,0.371693
9,393,0.571485,0.443232,0.443782,0.419469,0.522606,0.630281,0.538034,0.687759,0.90874,0.682576,0.497571,0.510377,0.705944,0.510247,0.385399,0.590739,0.446407,0.469276,0.400953,0.485854,0.697919,0.663905,0.586796,0.546078,0.554138,0.504911,0.433008,0.435515,0.539165,0.395342,0.468242,0.556181,0.636719,0.543991,0.549373,0.669481,0.513063,0.391602,0.578298,0.538216,0.685457,0.466392,0.41769,0.419464,0.527579,0.408955,0.560056,0.67645,0.604533,0.584767,0.384333,0.340042
10,323,0.541766,0.465488,0.389497,0.368265,0.481765,0.633235,0.596158,0.5869,0.932158,0.60545,0.524912,0.521337,0.632239,0.496863,0.364247,0.588228,0.452231,0.422494,0.422388,0.436153,0.696406,0.669375,0.557037,0.496048,0.520603,0.419298,0.442588,0.442898,0.500566,0.368259,0.444753,0.549548,0.622663,0.548891,0.505616,0.634234,0.46549,0.423837,0.568597,0.528704,0.629884,0.471819,0.414923,0.402144,0.42779,0.427943,0.548173,0.645544,0.591404,0.521086,0.327724,0.337207
11,308,0.539121,0.464659,0.39065,0.368474,0.479379,0.633101,0.593248,0.580067,0.93127,0.600937,0.520936,0.519444,0.63155,0.489797,0.362004,0.584448,0.449594,0.420452,0.41587,0.435239,0.694974,0.66168,0.55176,0.493798,0.520063,0.418751,0.437235,0.440224,0.496018,0.368551,0.442965,0.546897,0.612937,0.546194,0.505645,0.628616,0.461599,0.415638,0.566728,0.525396,0.625018,0.471207,0.410631,0.393339,0.427216,0.424192,0.547903,0.641772,0.58818,0.517336,0.328566,0.335369
12,390,0.535627,0.435726,0.444514,0.417343,0.50895,0.650792,0.551116,0.660638,0.913719,0.632737,0.523654,0.489245,0.719987,0.48506,0.374805,0.586721,0.45095,0.46369,0.439512,0.432519,0.701948,0.619239,0.579923,0.563327,0.566986,0.47329,0.448233,0.445325,0.543847,0.388454,0.44051,0.550066,0.640895,0.534523,0.548776,0.653321,0.503942,0.38344,0.629671,0.513331,0.655938,0.424769,0.406314,0.452985,0.514584,0.398133,0.559909,0.698713,0.631316,0.524616,0.387933,0.320833
13,305,0.554209,0.453049,0.408706,0.389144,0.533195,0.647684,0.56587,0.59385,0.920586,0.661091,0.489348,0.518637,0.642276,0.50046,0.392882,0.614262,0.462756,0.45404,0.395775,0.424206,0.671265,0.689351,0.543288,0.491945,0.530012,0.446795,0.412513,0.461445,0.491991,0.358418,0.43802,0.574938,0.575187,0.596739,0.554016,0.628148,0.498513,0.395297,0.541539,0.526159,0.644908,0.504191,0.425388,0.398572,0.466276,0.478736,0.551619,0.670797,0.608928,0.552339,0.33625,0.292397
14,243,0.515006,0.414699,0.369887,0.381956,0.461671,0.609687,0.518153,0.539526,0.90691,0.587625,0.462767,0.471323,0.611398,0.495325,0.345789,0.581166,0.423223,0.428229,0.351711,0.396336,0.626602,0.629005,0.522235,0.450759,0.509807,0.419274,0.425638,0.382034,0.472869,0.342767,0.389189,0.501696,0.550322,0.52775,0.532122,0.601178,0.478272,0.391916,0.558674,0.450453,0.598248,0.404325,0.356923,0.351396,0.42126,0.425212,0.527758,0.636994,0.579543,0.512224,0.31172,0.266176
15,406,0.569575,0.471538,0.457921,0.410206,0.558133,0.649771,0.616021,0.696416,0.930468,0.681011,0.561822,0.556811,0.723786,0.501414,0.419026,0.611097,0.465857,0.466013,0.479499,0.498996,0.7251,0.687238,0.621274,0.600991,0.561089,0.482913,0.429051,0.515101,0.542893,0.427846,0.493876,0.598888,0.638803,0.558078,0.550797,0.68007,0.49892,0.377562,0.615123,0.606057,0.719266,0.520969,0.496744,0.487028,0.543954,0.409817,0.593314,0.699626,0.621069,0.553975,0.412941,0.350195
16,397,0.548566,0.490525,0.449496,0.456103,0.522435,0.67528,0.591448,0.64494,0.921662,0.656904,0.506402,0.534824,0.707943,0.561383,0.390969,0.63936,0.447767,0.477912,0.415164,0.478742,0.718551,0.697111,0.584814,0.54833,0.583899,0.480197,0.429856,0.43283,0.498895,0.392889,0.427696,0.585665,0.660153,0.58484100000000006,0.583139,0.667924,0.537681,0.473716,0.605286,0.565205,0.68158,0.475723,0.44092,0.421856,0.518,0.459973,0.626492,0.706303,0.61181,0.57478,0.365278,0.328003
17,226,0.506567,0.403292,0.37128,0.337175,0.468669,0.6114,0.511163,0.570775,0.8989,0.613715,0.405648,0.438684,0.6195,0.385743,0.356602,0.508653,0.404549,0.402196,0.40152,0.366425,0.626153,0.600892,0.508383,0.502434,0.469291,0.400545,0.390994,0.401054,0.524078,0.357497,0.426377,0.47896,0.552999,0.450535,0.461549,0.607292,0.403053,0.321348,0.542885,0.464484,0.601865,0.424169,0.377869,0.385887,0.401969,0.337833,0.446181,0.613355,0.565389,0.462464,0.325883,0.285399
18,267,0.546668,0.438539,0.398486,0.409094,0.511438,0.642613,0.552161,0.611079,0.918886,0.676085,0.465773,0.494388,0.670567,0.458086,0.309701,0.561872,0.464664,0.412903,0.402225,0.38731,0.695195,0.654066,0.554918,0.540402,0.555536,0.476959,0.454777,0.449624,0.532994,0.387336,0.438883,0.512957,0.612877,0.491454,0.511922,0.616623,0.432993,0.401547,0.601245,0.478319,0.660179,0.464329,0.41113,0.393133,0.446073,0.353924,0.494679,0.64393,0.607466,0.509181,0.315263,0.288757
19,412,0.548028,0.442184,0.456183,0.40086,0.532793,0.678425,0.594364,0.641211,0.936087,0.648909,0.554989,0.532432,0.705407,0.526028,0.425183,0.61682,0.439134,0.480077,0.437902,0.481287,0.695198,0.690239,0.575075,0.541084,0.540822,0.458789,0.42457,0.441114,0.508688,0.372346,0.459443,0.593023,0.621173,0.599687,0.549347,0.693342,0.53709,0.389017,0.574772,0.571744,0.667675,0.495583,0.434167,0.442878,0.524052,0.489149,0.642184,0.706427,0.591125,0.563218,0.380761,0.355594
20,303,0.553465,0.463767,0.382808,0.414077,0.512505,0.649047,0.558632,0.604312,0.901789,0.643124,0.471168,0.503173,0.68905,0.46883,0.366064,0.572907,0.474499,0.438383,0.427482,0.435855,0.691832,0.647632,0.533232,0.517641,0.556601,0.458887,0.452278,0.450279,0.542432,0.409727,0.449313,0.515622,0.626322,0.494609,0.546632,0.611573,0.456835,0.412971,0.6013,0.509548,0.670281,0.43735,0.432981,0.435871,0.462313,0.372197,0.495225,0.675103,0.620785,0.50784,0.330089,0.287257
21,230,0.549871,0.417756,0.405966,0.429464,0.478637,0.623737,0.4972,0.613274,0.907543,0.619207,0.49841800000000003,0.474646,0.614996,0.49922,0.325898,0.592287,0.465154,0.441526,0.411712,0.466772,0.657301,0.664472,0.497941,0.498599,0.515598,0.435964,0.466713,0.425758,0.498978,0.380869,0.383902,0.503485,0.585216,0.524486,0.522934,0.582354,0.472271,0.394094,0.552815,0.472652,0.647554,0.472298,0.394853,0.367285,0.453267,0.409705,0.577021,0.652732,0.549029,0.502783,0.306814,0.293027
22,353,0.51927,0.452467,0.393525,0.41333,0.503575,0.653902,0.612357,0.623297,0.919542,0.647154,0.498096,0.525928,0.706587,0.469896,0.408916,0.577214,0.433551,0.431463,0.437724,0.441117,0.674935,0.643706,0.597227,0.561417,0.567,0.457551,0.436211,0.431084,0.512317,0.366585,0.482379,0.54584,0.609304,0.549309,0.492246,0.665296,0.480337,0.373648,0.603,0.561117,0.630424,0.451899,0.427815,0.441989,0.512133,0.39245,0.525624,0.685092,0.611838,0.555504,0.386502,0.331439
23,367,0.516675,0.460168,0.379523,0.420793,0.505189,0.647553,0.598201,0.628931,0.911092,0.647246,0.5171,0.518962,0.712607,0.465266,0.414207,0.578987,0.426168,0.431909,0.432511,0.462156,0.674126,0.630368,0.610134,0.551041,0.571916,0.45522,0.443584,0.437814,0.490035,0.36123,0.468004,0.529978,0.586324,0.528341,0.491419,0.663562,0.481857,0.379379,0.594753,0.567854,0.626056,0.457112,0.413801,0.429711,0.518953,0.401555,0.526383,0.667641,0.597494,0.533666,0.365998,0.311512
24,274,0.497252,0.416677,0.404096,0.405505,0.498476,0.627103,0.50434,0.582438,0.908962,0.609672,0.492406,0.501213,0.617401,0.472275,0.332254,0.579135,0.44264,0.407669,0.409935,0.426227,0.712082,0.61362,0.504851,0.506138,0.483637,0.422394,0.426365,0.424701,0.528953,0.342062,0.38839,0.541479,0.58321,0.505262,0.47952,0.623276,0.488897,0.332302,0.539519,0.483265,0.606869,0.461917,0.414622,0.424214,0.444969,0.368176,0.552722,0.680004,0.588835,0.560821,0.347389,0.280792
25,269,0.523301,0.431411,0.405316,0.385928,0.482202,0.645596,0.567598,0.620752,0.916575,0.638652,0.483605,0.441087,0.680115,0.484716,0.375745,0.580128,0.420708,0.443534,0.400075,0.456291,0.659013,0.683299,0.59258,0.545977,0.539226,0.449262,0.387274,0.409223,0.459694,0.380918,0.426931,0.521389,0.600584,0.522502,0.531081,0.64224,0.44162,0.425062,0.610652,0.520026,0.665467,0.438095,0.404327,0.398541,0.480917,0.388041,0.538609,0.633224,0.554095,0.458411,0.321204,0.345877
26,394,0.550602,0.4636,0.476107,0.428537,0.501973,0.6646,0.596356,0.660459,0.941147,0.718669,0.525957,0.519604,0.691909,0.504969,0.409056,0.603828,0.489368,0.468748,0.419434,0.457362,0.716416,0.730378,0.611952,0.552642,0.603976,0.488339,0.43363,0.481225,0.532576,0.408479,0.463925,0.60411,0.668731,0.56614,0.600974,0.690121,0.487213,0.457136,0.639168,0.598061,0.726144,0.468766,0.472962,0.446461,0.530329,0.426927,0.567337,0.685206,0.65328,0.523472,0.376305,0.406391
27,362,0.540529,0.464961,0.440123,0.424586,0.5152,0.677968,0.564904,0.634891,0.902366,0.61517,0.537796,0.512993,0.702499,0.486544,0.370153,0.579641,0.430161,0.446742,0.446824,0.459751,0.698683,0.627753,0.531727,0.52961,0.51061,0.447513,0.453095,0.425534,0.526288,0.348528,0.440435,0.54701,0.635668,0.547066,0.49528,0.65053,0.504339,0.362611,0.582091,0.521354,0.628167,0.491739,0.403207,0.418487,0.488556,0.455466,0.579084,0.676004,0.594111,0.553158,0.339804,0.255483
28,433,0.593354,0.492382,0.470387,0.450057,0.546774,0.713067,0.623861,0.672808,0.943022,0.725153,0.541777,0.550484,0.719027,0.551313,0.448191,0.632368,0.474829,0.502126,0.455253,0.495445,0.710956,0.723831,0.633586,0.553371,0.609283,0.486028,0.462538,0.503029,0.577713,0.427282,0.476847,0.596503,0.663146,0.592626,0.580938,0.666197,0.518898,0.462455,0.627667,0.587288,0.731027,0.505629,0.501077,0.495937,0.500554,0.448872,0.599693,0.732072,0.666924,0.594276,0.441127,0.360453
29,230,0.4938,0.414411,0.35951,0.381471,0.496857,0.60285,0.517028,0.580162,0.890408,0.566683,0.484815,0.452716,0.639718,0.43262,0.325053,0.556175,0.422021,0.401519,0.395282,0.380955,0.678488,0.593908,0.504898,0.523561,0.466968,0.423711,0.385906,0.420834,0.474926,0.353721,0.412094,0.496253,0.602655,0.495565,0.52465,0.628175,0.443874,0.336891,0.567673,0.458999,0.57364,0.440728,0.361792,0.36791,0.427566,0.401839,0.518568,0.640003,0.553686,0.468855,0.271475,0.273329
30,427,0.576068,0.499729,0.48397,0.452525,0.542701,0.706326,0.615025,0.666376,0.934969,0.704173,0.558627,0.554107,0.705325,0.560539,0.396633,0.62245,0.459664,0.50604,0.450776,0.483817,0.696415,0.716628,0.610372,0.545517,0.570258,0.479933,0.481485,0.494933,0.557415,0.415643,0.498905,0.594799,0.657615,0.597884,0.555306,0.644379,0.526563,0.421802,0.590544,0.58601,0.709407,0.521111,0.482955,0.488826,0.538182,0.424599,0.597795,0.696401,0.627801,0.579281,0.42692600000000003,0.346806
31,378,0.56624,0.435409,0.433941,0.423062,0.570678,0.647003,0.583931,0.630331,0.918074,0.65151,0.513873,0.511313,0.68765,0.478574,0.412012,0.619653,0.492709,0.436181,0.449972,0.471053,0.721091,0.655804,0.573804,0.571613,0.57294,0.501728,0.443425,0.467129,0.541326,0.410725,0.448768,0.557382,0.623006,0.541519,0.551599,0.700529,0.506424,0.413621,0.649002,0.522424,0.633539,0.481096,0.433001,0.453047,0.499176,0.465111,0.57531,0.695187,0.638784,0.551505,0.327502,0.349238
32,383,0.544258,0.461029,0.423831,0.46664,0.472386,0.686931,0.567668,0.618701,0.928778,0.649076,0.53821,0.537398,0.71196,0.528465,0.394462,0.568464,0.447578,0.485626,0.433823,0.440928,0.674765,0.670177,0.57909,0.566222,0.548246,0.440352,0.471719,0.459127,0.524405,0.376667,0.477013,0.540756,0.676472,0.585495,0.558066,0.631268,0.490766,0.40943,0.594839,0.544133,0.671393,0.486228,0.424382,0.409403,0.525451,0.442908,0.590236,0.703765,0.607842,0.541577,0.350311,0.333746
33,378,0.584853,0.502692,0.453906,0.44208,0.591084,0.644891,0.60598,0.6703,0.926354,0.702944,0.524772,0.524271,0.677892,0.518859,0.415184,0.646212,0.454939,0.434847,0.465957,0.47865,0.753143,0.702206,0.596251,0.55703,0.573168,0.508525,0.445982,0.447825,0.565708,0.431286,0.44513200000000003,0.621737,0.633675,0.534359,0.538364,0.692932,0.49819600000000003,0.429135,0.586945,0.569528,0.670815,0.500736,0.464958,0.450941,0.499646,0.427143,0.579323,0.698658,0.620517,0.564565,0.396697,0.355903
34,246,0.502524,0.433448,0.383527,0.378347,0.507464,0.579764,0.511226,0.558011,0.91558,0.58888,0.481644,0.474331,0.648779,0.472608,0.367095,0.500507,0.398681,0.472755,0.364842,0.420662,0.634522,0.630104,0.515761,0.525594,0.499101,0.401423,0.43214,0.430683,0.445557,0.344375,0.422259,0.475078,0.573883,0.531926,0.516429,0.606127,0.453539,0.373265,0.572874,0.471317,0.656403,0.430611,0.386014,0.364621,0.454228,0.388702,0.533047,0.628203,0.601636,0.476266,0.300156,0.296495
35,301,0.551989,0.422032,0.397498,0.37931,0.485951,0.682079,0.583423,0.629618,0.911912,0.649475,0.48745,0.517072,0.679272,0.520591,0.363855,0.61099,0.425553,0.387856,0.404174,0.44019200000000003,0.711094,0.64002,0.55746,0.563677,0.528273,0.466814,0.35044,0.417776,0.499953,0.405438,0.393471,0.568804,0.616242,0.525262,0.555954,0.629672,0.444892,0.394999,0.544043,0.547808,0.610038,0.441845,0.416647,0.444407,0.453993,0.405393,0.561128,0.651789,0.61359,0.540785,0.341552,0.321341
36,356,0.563156,0.424263,0.429222,0.399887,0.511148,0.687553,0.590079,0.614422,0.924825,0.647981,0.531378,0.53284,0.704225,0.525261,0.41435,0.598988,0.413286,0.419197,0.436408,0.437709,0.702844,0.636791,0.57359,0.549018,0.542576,0.449723,0.352778,0.438446,0.500097,0.396817,0.459885,0.571499,0.62163,0.521456,0.563531,0.626222,0.451697,0.40709,0.565502,0.559949,0.603168,0.442962,0.378844,0.454131,0.466795,0.385912,0.590883,0.670276,0.623111,0.512194,0.368748,0.314614
37,317,0.517001,0.448578,0.41643,0.401788,0.500947,0.586396,0.540861,0.608642,0.913092,0.64283,0.479422,0.47615,0.641835,0.465449,0.333529,0.584725,0.462357,0.460206,0.386704,0.439193,0.673982,0.681444,0.554159,0.519337,0.551067,0.456122,0.433205,0.433049,0.512521,0.354739,0.419511,0.513502,0.61376,0.544041,0.470752,0.660276,0.482252,0.367075,0.59099,0.497972,0.647255,0.466938,0.448669,0.384768,0.504583,0.41453,0.515299,0.678493,0.566787,0.544852,0.33374,0.313692
38,314,0.540244,0.451412,0.400657,0.398625,0.487392,0.660255,0.568429,0.593295,0.905463,0.599308,0.502922,0.508952,0.689876,0.481551,0.385781,0.552047,0.377167,0.421839,0.420282,0.436197,0.667319,0.588699,0.531915,0.543657,0.504264,0.435708,0.401686,0.417691,0.49045,0.38921,0.431536,0.554733,0.569126,0.501149,0.529687,0.581596,0.452642,0.392204,0.567832,0.507356,0.652133,0.436495,0.365935,0.413899,0.448625,0.378597,0.571922,0.622821,0.601065,0.488568,0.33103900000000003,0.294456
39,236,0.517396,0.39811,0.380962,0.424272,0.499041,0.590899,0.524381,0.587017,0.908292,0.617604,0.454771,0.491087,0.659143,0.442416,0.320706,0.545078,0.405645,0.430944,0.396222,0.373583,0.621318,0.616826,0.494788,0.50243,0.499866,0.426283,0.406967,0.38611,0.493067,0.330149,0.400662,0.552936,0.579522,0.504872,0.472902,0.65339,0.451724,0.342688,0.571084,0.534228,0.654176,0.457796,0.456907,0.363974,0.478104,0.37205,0.479283,0.633032,0.575281,0.476347,0.299229,0.295728
40,356,0.53351,0.418476,0.399895,0.402035,0.523254,0.648662,0.578893,0.624323,0.918543,0.656347,0.554704,0.522052,0.651839,0.515389,0.421841,0.612293,0.413828,0.464044,0.420988,0.427365,0.744352,0.674214,0.586975,0.586508,0.581973,0.472573,0.411404,0.434235,0.513829,0.403825,0.460521,0.512556,0.651717,0.536268,0.557372,0.604965,0.450803,0.414249,0.597336,0.544564,0.65196,0.465412,0.392908,0.425165,0.48821,0.448853,0.567648,0.697237,0.610354,0.566992,0.377784,0.319015
41,321,0.541278,0.432923,0.425915,0.407585,0.534746,0.692991,0.579884,0.647309,0.924887,0.653092,0.499061,0.506913,0.695819,0.49822,0.403272,0.594503,0.449152,0.466588,0.430429,0.458521,0.752916,0.648513,0.590967,0.57373,0.558788,0.469475,0.43103,0.460409,0.530017,0.372408,0.446633,0.52119,0.61858900000000006,0.57597,0.522369,0.63548,0.490852,0.399435,0.600071,0.54638,0.67487,0.467979,0.412532,0.440094,0.482608,0.438179,0.565037,0.700247,0.607973,0.550929,0.374472,0.333947
42,358,0.565992,0.483474,0.423047,0.428836,0.506041,0.615065,0.576221,0.617654,0.915027,0.632519,0.535012,0.52535,0.687542,0.505445,0.38908,0.594623,0.452591,0.463024,0.436974,0.437044,0.647995,0.690208,0.555803,0.49461,0.541249,0.45744,0.437064,0.451999,0.51936,0.38551,0.450377,0.573852,0.645664,0.536995,0.553251,0.674531,0.507351,0.379566,0.607102,0.53942,0.638644,0.47358,0.465366,0.411003,0.491633,0.417202,0.568357,0.660492,0.614546,0.535655,0.338147,0.319573
43,424,0.567501,0.512178,0.443574,0.449966,0.530198,0.66178,0.610144,0.623068,0.934422,0.652265,0.556806,0.52462,0.743224,0.505537,0.413106,0.628675,0.454798,0.491167,0.450383,0.474426,0.665841,0.717064,0.58714,0.560027,0.526503,0.492962,0.47779,0.489249,0.532897,0.420958,0.473922,0.602658,0.644112,0.576725,0.586622,0.667518,0.502024,0.395176,0.584715,0.564795,0.668943,0.512872,0.468084,0.475882,0.503218,0.459516,0.628111,0.701125,0.622896,0.569867,0.354386,0.358485
44,324,0.532017,0.456416,0.411653,0.389205,0.530674,0.619309,0.558624,0.663593,0.910613,0.652502,0.469132,0.479221,0.639586,0.510272,0.375068,0.593807,0.422506,0.427156,0.383994,0.42864,0.721836,0.669305,0.53982,0.521601,0.577364,0.434263,0.400754,0.457233,0.511425,0.351243,0.421173,0.550812,0.587481,0.494849,0.51559,0.630777,0.503765,0.403987,0.631421,0.533094,0.617978,0.44436,0.41205,0.401306,0.420183,0.37814,0.529142,0.609071,0.609449,0.541506,0.35477,0.304442
45,340,0.550592,0.482072,0.424209,0.386421,0.533877,0.661505,0.564066,0.622731,0.927983,0.626604,0.506823,0.487008,0.684824,0.526304,0.376679,0.559566,0.441465,0.454393,0.404725,0.455341,0.677954,0.66623,0.526105,0.562037,0.549336,0.49262,0.383947,0.470564,0.536882,0.374389,0.482583,0.548913,0.588994,0.529112,0.561856,0.651293,0.455607,0.419293,0.584812,0.505412,0.603418,0.478388,0.44157,0.390012,0.468632,0.423384,0.561984,0.681789,0.629317,0.558083,0.337525,0.347577
46,421,0.554367,0.433876,0.431073,0.454869,0.514405,0.638269,0.590888,0.655877,0.910468,0.672117,0.545628,0.536406,0.682439,0.478226,0.383794,0.632367,0.469005,0.430964,0.489003,0.442956,0.703383,0.658963,0.611779,0.557536,0.544677,0.419117,0.505284,0.396369,0.526555,0.401625,0.406656,0.580113,0.680778,0.582076,0.508913,0.650643,0.540975,0.41579700000000003,0.613028,0.567655,0.697903,0.525434,0.418977,0.455734,0.51819,0.431119,0.576004,0.684063,0.605578,0.539844,0.387666,0.294482
47,432,0.551122,0.498874,0.448714,0.437887,0.55034,0.687356,0.590772,0.636383,0.944762,0.687927,0.540976,0.547467,0.72817,0.550637,0.43528,0.607878,0.529772,0.512208,0.447901,0.410782,0.727521,0.717253,0.565317,0.544845,0.556332,0.495923,0.436566,0.518017,0.539905,0.432369,0.479084,0.551032,0.629906,0.564434,0.572001,0.655345,0.518257,0.438089,0.624331,0.555479,0.725377,0.493636,0.461529,0.464832,0.547513,0.451542,0.588412,0.704905,0.612126,0.595369,0.384258,0.369915
48,269,0.525029,0.401662,0.382907,0.38523,0.45522,0.608163,0.55256,0.604336,0.882426,0.605848,0.479962,0.459916,0.597223,0.451394,0.317443,0.5716,0.3668,0.386524,0.402913,0.442424,0.65897,0.595553,0.552422,0.50745,0.527767,0.4156,0.402101,0.362739,0.4858,0.336087,0.411842,0.583197,0.618024,0.532228,0.502121,0.641595,0.4449,0.369032,0.558804,0.509123,0.573983,0.437771,0.385618,0.388356,0.435515,0.380745,0.519127,0.663512,0.580485,0.469844,0.308928,0.276876
49,374,0.559099,0.418744,0.454589,0.415684,0.516007,0.642776,0.569041,0.628087,0.923214,0.669263,0.552619,0.5261,0.657191,0.515187,0.400947,0.607793,0.446388,0.448563,0.475775,0.438946,0.696505,0.676589,0.565822,0.53493,0.527833,0.433398,0.433475,0.441871,0.533059,0.356969,0.429836,0.514218,0.627069,0.513528,0.510511,0.66741,0.466457,0.408947,0.625137,0.493859,0.627119,0.431156,0.41741,0.445875,0.51194,0.433871,0.579794,0.657232,0.568828,0.56031,0.381365,0.314617
50,431,0.562265,0.448791,0.439946,0.429657,0.555602,0.679394,0.593604,0.64406,0.927287,0.65993,0.534615,0.584016,0.705378,0.544045,0.389036,0.644004,0.492816,0.493611,0.429888,0.451973,0.719842,0.677197,0.561686,0.560132,0.596818,0.508484,0.455996,0.447442,0.561445,0.4123,0.47163,0.60898,0.649817,0.567763,0.582629,0.683434,0.501769,0.443163,0.609608,0.579155,0.694975,0.528948,0.470945,0.409809,0.546882,0.404513,0.57361,0.672031,0.644878,0.607401,0.379623,0.325304
51,303,0.544839,0.48474,0.40783,0.428006,0.503684,0.641804,0.57302,0.634733,0.918061,0.654237,0.503927,0.435592,0.666766,0.461467,0.370711,0.545679,0.424883,0.439887,0.424672,0.434223,0.667957,0.677998,0.569951,0.517543,0.527179,0.437342,0.435803,0.44397,0.489742,0.376718,0.431111,0.529315,0.607688,0.539294,0.489555,0.624768,0.484681,0.374632,0.584457,0.512533,0.6465,0.434518,0.393001,0.431216,0.457903,0.435313,0.564403,0.692443,0.571562,0.489703,0.339799,0.317498
52,347,0.550578,0.470274,0.423503,0.409711,0.498132,0.667765,0.560316,0.619121,0.922249,0.608063,0.492682,0.490708,0.679895,0.503332,0.402878,0.628015,0.489702,0.449523,0.387202,0.421486,0.704478,0.647027,0.552315,0.565341,0.594063,0.483899,0.422185,0.466499,0.536282,0.37406,0.475823,0.584139,0.664795,0.596222,0.52808600000000006,0.659631,0.488543,0.393921,0.583187,0.544211,0.638966,0.519767,0.470398,0.385268,0.52342,0.422931,0.536343,0.656536,0.644842,0.540376,0.36338,0.339223
