draw,ev,natl,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
548,432,0.561529,0.481707,0.459971,0.457235,0.51447,0.660908,0.588053,0.662275,0.920916,0.667255,0.525781,0.55136,0.705474,0.523196,0.404524,0.595945,0.5005,0.479393,0.434722,0.463878,0.686145,0.662698,0.546506,0.550095,0.56847,0.446304,0.46765,0.41541,0.564713,0.391183,0.469907,0.577924,0.649841,0.57945,0.55596,0.658679,0.537528,0.408948,0.628866,0.543691,0.689546,0.527677,0.438135,0.468154,0.503893,0.462979,0.581944,0.665499,0.587785,0.563732,0.40459,0.369977
549,431,0.573611,0.492566,0.480333,0.415108,0.557012,0.699472,0.639314,0.647755,0.931312,0.690808,0.563969,0.531969,0.698939,0.576789,0.431724,0.66627,0.490863,0.503615,0.458439,0.498655,0.736175,0.721521,0.64074,0.601194,0.599654,0.506895,0.46731,0.539206,0.546753,0.456932,0.493294,0.608837,0.625161,0.589488,0.577002,0.703598,0.515991,0.452694,0.620853,0.570643,0.657406,0.487293,0.491885,0.416779,0.510789,0.440327,0.587626,0.712997,0.660306,0.555686,0.35877,0.356642
550,335,0.543751,0.4327,0.401344,0.436836,0.545372,0.619901,0.549877,0.65786,0.922654,0.655039,0.504413,0.519421,0.681261,0.494431,0.372769,0.576216,0.466012,0.446842,0.422744,0.42226,0.669173,0.680301,0.515993,0.513445,0.537497,0.443732,0.435413,0.382074,0.497048,0.354006,0.463728,0.557287,0.645036,0.562274,0.541248,0.661562,0.476602,0.399589,0.593726,0.565107,0.649124,0.493129,0.437929,0.461686,0.486328,0.408467,0.560899,0.689424,0.608804,0.581024,0.376529,0.35878
551,264,0.507513,0.415268,0.400923,0.388477,0.479421,0.641435,0.552584,0.586903,0.912147,0.655367,0.450796,0.459911,0.665223,0.466821,0.366143,0.568007,0.391274,0.403862,0.406257,0.41511,0.6958,0.648463,0.582375,0.513989,0.514465,0.436993,0.383146,0.460296,0.505832,0.375091,0.389537,0.520686,0.567245,0.50387,0.514261,0.616647,0.4717,0.370462,0.582105,0.488143,0.628268,0.412583,0.388697,0.383617,0.45835,0.399278,0.519067,0.656664,0.570288,0.468741,0.304355,0.272152
552,306,0.547284,0.443869,0.400012,0.390928,0.510157,0.61031,0.56105,0.613395,0.916441,0.615952,0.499812,0.509514,0.63934,0.492965,0.38422,0.597407,0.459186,0.458737,0.391322,0.414347,0.676768,0.635867,0.505132,0.536594,0.535141,0.454883,0.408644,0.408571,0.47691,0.369507,0.472384,0.529349,0.634947,0.536326,0.531296,0.651026,0.481527,0.384892,0.583227,0.535383,0.675053,0.476002,0.441342,0.442242,0.457722,0.415792,0.553777,0.642487,0.574114,0.57944,0.370021,0.311418
553,363,0.560325,0.478309,0.453481,0.45549,0.517638,0.672381,0.563376,0.615364,0.910419,0.645456,0.51005,0.498007,0.675508,0.486883,0.366475,0.636741,0.507429,0.448861,0.453567,0.478881,0.698973,0.669906,0.586091,0.54799,0.533041,0.477135,0.468606,0.484705,0.527798,0.369305,0.399897,0.563088,0.634284,0.519443,0.544123,0.673817,0.500855,0.486392,0.580736,0.536591,0.660897,0.479114,0.418474,0.488244,0.485578,0.450191,0.553267,0.650113,0.630161,0.577888,0.38833,0.330484
554,431,0.565355,0.465326,0.460136,0.456709,0.534171,0.673292,0.569331,0.631223,0.91358,0.658871,0.522325,0.53139,0.689614,0.499509,0.417456,0.654567,0.537797,0.46462,0.482444,0.505206,0.690791,0.682794,0.575307,0.554364,0.552978,0.48358,0.51546,0.486622,0.550973,0.370251,0.430184,0.564224,0.635065,0.529927,0.579969,0.691309,0.51459,0.464909,0.573662,0.561291,0.675105,0.467424,0.427011,0.48111,0.502549,0.443102,0.561593,0.675197,0.650921,0.578371,0.406301,0.332818
555,380,0.582435,0.489551,0.483287,0.438474,0.574174,0.661484,0.610297,0.705216,0.948535,0.704139,0.543709,0.54793,0.684426,0.505899,0.384767,0.623065,0.443059,0.481312,0.427414,0.493705,0.735437,0.701827,0.658243,0.594423,0.598165,0.518315,0.432833,0.449261,0.548933,0.448187,0.503666,0.592582,0.658394,0.577054,0.564295,0.69064,0.482371,0.380366,0.642635,0.56919,0.669638,0.519841,0.463242,0.440443,0.489286,0.419379,0.618327,0.725591,0.618099,0.56282,0.391584,0.369716
556,374,0.569664,0.451219,0.402902,0.44976,0.560263,0.674778,0.596655,0.618599,0.903792,0.649332,0.525807,0.544289,0.710925,0.548127,0.432243,0.614727,0.481101,0.488408,0.465045,0.460223,0.681605,0.652776,0.531751,0.54367,0.560823,0.438286,0.466485,0.491995,0.539798,0.410723,0.457565,0.576001,0.641801,0.567234,0.538749,0.662414,0.563337,0.482872,0.586675,0.554951,0.711961,0.480371,0.455803,0.444311,0.496081,0.4545,0.548242,0.680928,0.625196,0.541564,0.371058,0.30894
557,404,0.566763,0.486677,0.477017,0.387025,0.54828,0.686539,0.592484,0.683972,0.942767,0.696475,0.529401,0.508185,0.682984,0.510377,0.383396,0.627534,0.460056,0.453214,0.410875,0.442504,0.723872,0.708462,0.584549,0.565801,0.567509,0.500807,0.38966,0.44335,0.560222,0.393407,0.465289,0.557363,0.673438,0.572993,0.55209,0.675762,0.483943,0.394612,0.607128,0.578568,0.680738,0.485842,0.437838,0.448653,0.530043,0.412071,0.641219,0.707678,0.63467,0.52968,0.373753,0.349965
558,359,0.541712,0.427967,0.405928,0.424298,0.515995,0.642855,0.558692,0.608104,0.901464,0.632881,0.506671,0.534926,0.697634,0.496407,0.400826,0.592959,0.451137,0.460496,0.440982,0.466332,0.674453,0.650897,0.549592,0.539736,0.550869,0.422316,0.501441,0.447435,0.498686,0.381955,0.435604,0.598429,0.630108,0.536542,0.547444,0.641215,0.516643,0.419104,0.595225,0.518994,0.678384,0.469461,0.433377,0.446876,0.481498,0.44158,0.51795,0.693781,0.601424,0.562809,0.333527,0.293605
559,426,0.558855,0.488892,0.433816,0.443282,0.571928,0.678946,0.620266,0.623837,0.933987,0.684611,0.525601,0.552269,0.716362,0.521584,0.408928,0.643091,0.468777,0.48055,0.413506,0.484553,0.72023,0.673588,0.5805,0.631101,0.573698,0.465265,0.490166,0.46519,0.557203,0.406952,0.509203,0.643266,0.649693,0.554806,0.603177,0.642657,0.537133,0.465535,0.633046,0.593712,0.692023,0.528854,0.458086,0.479733,0.523663,0.456225,0.58602,0.689135,0.599742,0.581554,0.381441,0.3624
560,337,0.542642,0.420718,0.4524,0.420307,0.514989,0.624031,0.5759,0.614015,0.89986,0.628142,0.526926,0.522556,0.628611,0.503854,0.360668,0.576549,0.413875,0.458999,0.417996,0.443024,0.664262,0.653117,0.561992,0.490845,0.513226,0.458846,0.406823,0.416853,0.492457,0.412278,0.428884,0.583665,0.603125,0.550415,0.486284,0.622658,0.516299,0.377764,0.53207,0.510022,0.65288,0.409778,0.414318,0.403219,0.489329,0.398351,0.55116,0.671105,0.57503,0.526319,0.333351,0.298803
561,323,0.525914,0.437144,0.375841,0.391057,0.489374,0.655805,0.554191,0.628403,0.925708,0.640119,0.526314,0.482476,0.72255,0.478725,0.395477,0.586785,0.4629,0.457665,0.433529,0.434085,0.709127,0.641838,0.536494,0.571051,0.560366,0.433678,0.437454,0.473162,0.533388,0.346424,0.446236,0.51598,0.626574,0.537045,0.547708,0.667578,0.454242,0.391641,0.643219,0.543628,0.658663,0.471583,0.423572,0.415113,0.456478,0.401398,0.541094,0.663059,0.628054,0.532661,0.355485,0.333809
562,367,0.557318,0.488625,0.415242,0.410049,0.515246,0.646103,0.567891,0.616458,0.918156,0.664123,0.47149,0.496692,0.659552,0.543438,0.379794,0.606511,0.454892,0.450102,0.434268,0.417914,0.642471,0.666645,0.587082,0.547942,0.549982,0.478668,0.444587,0.449997,0.516396,0.412582,0.445376,0.598935,0.618743,0.552165,0.514895,0.641723,0.503799,0.429604,0.589984,0.536761,0.646718,0.449724,0.448888,0.410547,0.524686,0.448263,0.581388,0.695305,0.597548,0.530755,0.337092,0.342677
563,350,0.518823,0.420535,0.431193,0.416283,0.535391,0.667367,0.565045,0.629842,0.917852,0.619889,0.543893,0.510005,0.690415,0.458186,0.370603,0.574436,0.432249,0.455644,0.399868,0.453339,0.71804,0.624842,0.542378,0.527072,0.529738,0.440101,0.415655,0.429968,0.507171,0.342412,0.432608,0.508466,0.623513,0.519844,0.550127,0.64165,0.437638,0.350643,0.597334,0.518325,0.642488,0.473855,0.390931,0.470118,0.440422,0.386179,0.532082,0.638817,0.604875,0.542286,0.362814,0.314906
564,364,0.573349,0.48125,0.390778,0.434559,0.529603,0.628675,0.578414,0.639352,0.925024,0.660892,0.499015,0.490177,0.682861,0.494725,0.385493,0.615921,0.431615,0.442517,0.440088,0.470277,0.690414,0.720573,0.593755,0.580065,0.552856,0.489211,0.451612,0.441491,0.535917,0.378427,0.450162,0.629418,0.650749,0.562291,0.57067,0.689016,0.545744,0.430229,0.619844,0.56407,0.659169,0.467272,0.506866,0.417333,0.539687,0.450712,0.58635,0.713915,0.601036,0.556589,0.368028,0.311417
565,367,0.567411,0.481966,0.472599,0.480355,0.553782,0.697941,0.590448,0.648,0.921285,0.671665,0.582149,0.554503,0.695884,0.491679,0.415421,0.624244,0.461332,0.487319,0.460435,0.504091,0.743221,0.649878,0.567297,0.562805,0.563691,0.479072,0.4717,0.474847,0.541944,0.411898,0.428051,0.586641,0.63046,0.564117,0.576873,0.655191,0.471623,0.394119,0.588503,0.559847,0.702962,0.528263,0.413769,0.464414,0.458929,0.440548,0.593709,0.692513,0.626965,0.550037,0.385055,0.369406
566,394,0.56867,0.526745,0.460046,0.460211,0.554415,0.623926,0.603497,0.688385,0.924741,0.684364,0.524804,0.516088,0.69363,0.521917,0.406904,0.648899,0.455659,0.4928,0.503851,0.448525,0.689464,0.69864,0.561818,0.584499,0.538057,0.483618,0.468088,0.448299,0.583283,0.396441,0.482304,0.591175,0.59755,0.594485,0.594901,0.692801,0.507944,0.422819,0.600891,0.552234,0.684468,0.514609,0.419763,0.403329,0.465328,0.44623,0.573618,0.729666,0.620643,0.558506,0.403488,0.350069
567,412,0.555076,0.407081,0.429422,0.452899,0.532554,0.678156,0.569759,0.630192,0.924512,0.667991,0.550573,0.535814,0.712625,0.516883,0.399398,0.56874,0.477693,0.477599,0.39889,0.456232,0.731238,0.655185,0.580206,0.568574,0.588458,0.484546,0.46385,0.474544,0.525871,0.394717,0.444549,0.580868,0.646029,0.556943,0.512079,0.663275,0.521849,0.417786,0.632574,0.55054,0.662502,0.48039,0.447841,0.498655,0.532673,0.437555,0.595551,0.649699,0.639295,0.534728,0.386655,0.34373
568,458,0.571666,0.488999,0.442546,0.398098,0.557155,0.68491899999999994,0.629299,0.663763,0.918301,0.694467,0.56058,0.526884,0.719078,0.573094,0.433703,0.632992,0.493637,0.499975,0.5268,0.530425,0.738082,0.695021,0.63917,0.596986,0.605042,0.565883,0.520532,0.456771,0.594632,0.396072,0.517601,0.62276,0.653497,0.58143,0.60799,0.690297,0.544132,0.459684,0.645798,0.58785,0.705438,0.531203,0.465485,0.452005,0.563205,0.453585,0.619273,0.693161,0.604953,0.587701,0.38918,0.352188
569,464,0.570539,0.486456,0.441938,0.397542,0.553158,0.674695,0.620358,0.659721,0.916445,0.692498,0.553665,0.524463,0.709301,0.556531,0.438848,0.641128,0.496446,0.504715,0.529465,0.530393,0.738046,0.687595,0.641455,0.596501,0.604046,0.557872,0.515735,0.465184,0.589913,0.394768,0.520287,0.612404,0.65002,0.585582,0.592444,0.688194,0.543476,0.457552,0.636027,0.573178,0.694811,0.522171,0.464658,0.466473,0.567116,0.451028,0.606931,0.680554,0.620413,0.586057,0.385154,0.351597
570,406,0.563027,0.44997,0.435602,0.436957,0.511186,0.631339,0.587503,0.637699,0.935501,0.628826,0.529431,0.514324,0.721879,0.485901,0.368775,0.593678,0.452807,0.445777,0.383336,0.431884,0.671277,0.672477,0.545779,0.545363,0.578828,0.472057,0.430772,0.44908,0.503713,0.382036,0.422614,0.559481,0.658634,0.587556,0.548343,0.665906,0.518483,0.418629,0.613001,0.561911,0.67346,0.491389,0.421698,0.465486,0.53862,0.398927,0.53779,0.685029,0.61394,0.559302,0.357101,0.338888
571,301,0.523934,0.43548,0.406814,0.377265,0.505935,0.638559,0.544763,0.583094,0.919378,0.648748,0.493754,0.502212,0.618215,0.484614,0.362058,0.585483,0.448305,0.448378,0.385381,0.440059,0.706368,0.64845,0.561432,0.503702,0.522928,0.471721,0.437978,0.422799,0.540661,0.372785,0.451197,0.551604,0.592951,0.512189,0.509596,0.645541,0.462658,0.39344,0.539559,0.49858,0.64169,0.457101,0.407319,0.427674,0.444167,0.418961,0.568459,0.658746,0.599629,0.517786,0.358054,0.301308
572,295,0.53247,0.476407,0.417866,0.40853,0.509013,0.641068,0.555149,0.623675,0.914079,0.669115,0.469367,0.527247,0.65318,0.472119,0.38628,0.551913,0.420008,0.455603,0.382026,0.428613,0.727398,0.603406,0.52284,0.487361,0.522763,0.399079,0.451961,0.411844,0.517116,0.39178,0.424818,0.559108,0.597352,0.510116,0.533233,0.646522,0.417521,0.379655,0.544244,0.529998,0.65727,0.445661,0.39262,0.459281,0.444202,0.38407,0.54856,0.6612,0.626237,0.497631,0.342195,0.284425
573,230,0.537954,0.450015,0.383523,0.388242,0.494598,0.607297,0.568175,0.615141,0.906149,0.623339,0.474374,0.498397,0.654718,0.489251,0.380747,0.550251,0.423667,0.386789,0.393383,0.435584,0.672004,0.614182,0.516071,0.502072,0.463314,0.412208,0.389585,0.403979,0.487333,0.410027,0.40122,0.540975,0.577562,0.5064,0.4831,0.646478,0.403252,0.329371,0.554402,0.495456,0.647218,0.433341,0.356138,0.397741,0.406037,0.395637,0.497853,0.631834,0.588527,0.502808,0.31673,0.300719
574,448,0.555657,0.474611,0.450638,0.437782,0.556952,0.701488,0.610079,0.660516,0.938473,0.69309,0.556302,0.515596,0.725494,0.529281,0.377592,0.628416,0.494498,0.519623,0.473223,0.451982,0.719742,0.71071,0.59981,0.607968,0.642854,0.567616,0.471243,0.50074,0.566273,0.382752,0.514725,0.595774,0.6733,0.589273,0.604688,0.674679,0.577226,0.475482,0.645891,0.574112,0.68689,0.523327,0.50719,0.461274,0.56612,0.454938,0.637922,0.724791,0.610837,0.601947,0.406879,0.362144
575,314,0.545087,0.47707,0.414841,0.437714,0.515312,0.620435,0.561937,0.625902,0.908321,0.635155,0.502209,0.532084,0.667076,0.491385,0.408109,0.596357,0.428371,0.427127,0.408144,0.460183,0.6788,0.650363,0.557264,0.511572,0.485185,0.402081,0.440374,0.424787,0.507412,0.398227,0.411978,0.546049,0.622078,0.536694,0.492974,0.632536,0.455183,0.355462,0.57066,0.496961,0.656415,0.449523,0.384522,0.42714,0.460719,0.406613,0.51088,0.661458,0.607799,0.522187,0.34081,0.323014
576,339,0.538975,0.475062,0.404273,0.394422,0.483099,0.648643,0.562726,0.633839,0.918543,0.642374,0.502371,0.517445,0.666748,0.481686,0.371452,0.636505,0.423098,0.437517,0.413471,0.471557,0.692726,0.676854,0.62286,0.547871,0.544128,0.471726,0.401584,0.42212,0.508459,0.389366,0.453803,0.55666,0.599047,0.522844,0.521104,0.670239,0.497287,0.421164,0.589158,0.547647,0.671055,0.450392,0.456047,0.418338,0.46871,0.416675,0.577549,0.668719,0.594118,0.518474,0.360081,0.308479
577,374,0.56092,0.440017,0.435225,0.453273,0.556719,0.65699,0.615496,0.626646,0.929813,0.660884,0.495424,0.524353,0.719241,0.525542,0.371744,0.565464,0.488246,0.492965,0.484157,0.439228,0.695291,0.685463,0.560325,0.561043,0.556383,0.446267,0.481215,0.484755,0.550498,0.388173,0.444635,0.566649,0.658336,0.577425,0.559512,0.652487,0.476134,0.382845,0.618362,0.541077,0.702543,0.503905,0.418714,0.438,0.529111,0.428702,0.560956,0.70697,0.627638,0.54781,0.350877,0.354551
578,335,0.54028,0.482574,0.391777,0.394039,0.519064,0.632534,0.551211,0.630831,0.918516,0.658006,0.531018,0.515867,0.649879,0.487999,0.403056,0.623717,0.385901,0.437366,0.362489,0.418265,0.687705,0.647475,0.581835,0.543026,0.547007,0.469559,0.393905,0.440211,0.484983,0.378419,0.439443,0.536481,0.627444,0.529307,0.528023,0.644542,0.483662,0.410134,0.602564,0.528453,0.639706,0.440244,0.441277,0.428059,0.455759,0.412009,0.56044,0.634017,0.607303,0.529011,0.384872,0.318656
579,285,0.526157,0.429434,0.348032,0.367631,0.527806,0.611571,0.523899,0.639865,0.916032,0.614988,0.489877,0.441549,0.639848,0.487263,0.38585,0.591099,0.370884,0.422737,0.347711,0.409903,0.692688,0.666431,0.535795,0.551412,0.504611,0.464371,0.384286,0.412238,0.463059,0.368559,0.409889,0.520053,0.597513,0.497909,0.544856,0.641918,0.442353,0.369093,0.586754,0.517561,0.631203,0.412056,0.427906,0.384414,0.434279,0.390977,0.536003,0.631441,0.559488,0.50053,0.320516,0.310641
580,299,0.538998,0.417642,0.386993,0.387847,0.495723,0.602697,0.515503,0.636373,0.907962,0.624322,0.522857,0.468456,0.63123,0.518508,0.370809,0.595375,0.419195,0.452023,0.396064,0.433043,0.664016,0.657431,0.52139,0.541641,0.487824,0.446582,0.403803,0.419911,0.469267,0.360972,0.441077,0.518839,0.610755,0.487712,0.517963,0.64678,0.456124,0.335339,0.585676,0.506778,0.656956,0.443514,0.41703,0.374899,0.44449,0.407713,0.505999,0.620273,0.589504,0.518703,0.351505,0.30247
581,264,0.508921,0.409389,0.379767,0.39159,0.49355,0.629549,0.555961,0.551497,0.897107,0.654515,0.447745,0.475749,0.628909,0.445654,0.341284,0.570859,0.418325,0.373948,0.38138,0.387032,0.636851,0.62183,0.525939,0.52058,0.559482,0.408277,0.373835,0.408026,0.493885,0.314281,0.397916,0.49847,0.553446,0.492538,0.473325,0.601355,0.462097,0.372769,0.510103,0.512549,0.610541,0.423616,0.400836,0.384884,0.440066,0.385698,0.518883,0.633446,0.542705,0.524337,0.307702,0.298407
582,347,0.541306,0.465021,0.444081,0.370249,0.504281,0.666098,0.549491,0.675322,0.928812,0.590088,0.521082,0.520146,0.699553,0.506486,0.396919,0.552159,0.444176,0.50475,0.432644,0.439317,0.719776,0.676891,0.547002,0.521758,0.524606,0.480351,0.485749,0.449916,0.494473,0.417196,0.448067,0.565206,0.674298,0.529964,0.582551,0.666502,0.456574,0.386583,0.607003,0.526704,0.667869,0.487392,0.411826,0.444603,0.495052,0.443744,0.556397,0.693085,0.604087,0.505616,0.3659,0.30912
583,273,0.540558,0.410202,0.389371,0.389285,0.488825,0.609433,0.554049,0.587005,0.90323,0.657209,0.454834,0.485481,0.61756,0.448533,0.333691,0.582109,0.408105,0.379792,0.378658,0.38252,0.638037,0.617925,0.551821,0.519297,0.526688,0.411404,0.383244,0.40173,0.472216,0.338283,0.376995,0.548611,0.584901,0.533258,0.458469,0.608826,0.466965,0.367552,0.553341,0.519778,0.622302,0.423599,0.386269,0.362929,0.448063,0.339032,0.533234,0.603976,0.572423,0.517498,0.300771,0.302362
