Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
386976188592544,Iris.warm,These ads ran without a disclaimer,≤100
2030859403853303,Mutiny Island Vodka,These ads ran without a disclaimer,≤100
12597491214,ADRA International,These ads ran without a disclaimer,≤100
75564782046,Vyond,These ads ran without a disclaimer,≤100
1123129514510486,Maserati Puerto Rico,These ads ran without a disclaimer,≤100
621144291234625,Miguel Romero,Comité Miguel Romero,984
292680997602545,Manuel Calderón Cerame,Comité Manuel Calderón Cerame,366
1432411210351681,Новая Фантастика,These ads ran without a disclaimer,≤100
505304629504971,Hyundai de San Juan,These ads ran without a disclaimer,≤100
1284735221676638,BELatina News,BELatina News,208
2025984974367186,La_Banasta,These ads ran without a disclaimer,≤100
1273449909389009,Echa Pa' Ca  con Osvaldo Valdy Tubens,These ads ran without a disclaimer,≤100
109907037209096,Keyliz Mendez Representante Acumulación 2020,Keyliz Joan Mendez Torres,≤100
359219328190348,Adriel Jared Vélez,These ads ran without a disclaimer,≤100
2226890454195164,PHP Solutions System Inc.,These ads ran without a disclaimer,≤100
103419547920606,Comite PIP Cidra Oficial,Leamsi Fontanez González,≤100
1072222572917000,Alejandro Hernández - Alcalde 2020,Alejandro Hernández Rivera,≤100
503952227024294,fixglobalwarming,These ads ran without a disclaimer,≤100
1426949024217365,The New Arab,These ads ran without a disclaimer,≤100
119283008140727,Pela Case,These ads ran without a disclaimer,≤100
1632527790377156,Michael López Saldaña 2020,Comité de Michael López Saldaña,≤100
275606287530,CEMEX,These ads ran without a disclaimer,≤100
1266380960081112,Almendra Lombardi Spa,These ads ran without a disclaimer,≤100
103755604511926,Alianza Rebeldía,These ads ran without a disclaimer,≤100
107990644081787,Lousif Nevárez De Gracia,Lousif Antonio Nevárez de Gracia,≤100
103658724374108,Gladys Díaz al Senado 2020,Fatima J Cedano,≤100
970301389805884,Ángel “Beto” Pérez,Ana de Lourdes Arocho Sánchez,≤100
1852520761657982,4ocean,These ads ran without a disclaimer,≤100
521215601679070,El Cano Delgado 2020,Vincent Rivera,≤100
298827966811602,Trump Recession,Maurice Lane Ponsart,≤100
193133454931658,Condado Check Point,These ads ran without a disclaimer,≤100
438758389665670,Noticias en Línea Puerto Rico,NELPR,≤100
101190451507962,gardencbdpr,These ads ran without a disclaimer,≤100
101377564806423,T-Shirt Hype,Michael Kim Martinez,≤100
468906559794011,LaunchGood,These ads ran without a disclaimer,≤100
118389879571665,Palomo Colon,Luis Daniel Camacho Ortiz,≤100
162456197119305,Quebrar O No Quebrar,These ads ran without a disclaimer,≤100
704209516684854,Noticias de Luquillo,These ads ran without a disclaimer,≤100
1691667177798461,Brut,Brut,483
38248226878,Indiana State University,These ads ran without a disclaimer,≤100
590875894316015,"Trump International Hotel Washington, D.C.",These ads ran without a disclaimer,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
161864353831037,Jay Fonseca,These ads ran without a disclaimer,≤100
828710480484720,Tribunadominicanatv,These ads ran without a disclaimer,≤100
202626512363,U.S. Census Bureau,These ads ran without a disclaimer,228
233173093424895,Porsche Center Puerto Rico,These ads ran without a disclaimer,≤100
527358433996753,Voodoo,These ads ran without a disclaimer,≤100
1787981661474767,San Juan "la Ciudad Patria",These ads ran without a disclaimer,≤100
670688686620124,Mercy Bakery,These ads ran without a disclaimer,≤100
165605800138963,Comité PIP Mayagüez,These ads ran without a disclaimer,≤100
110898097167987,Angel Javier Rosario,Angel Javier Rosario Maldonado,≤100
518974798535043,Economía con Calle,Edgardo Vicenty Algarin,≤100
451300034899885,Gabriel Vicéns Rivera,These ads ran without a disclaimer,≤100
497046574368616,Frankie Guerra Senador Distrito Carolina,Comite Amigos Frankie Guerra Morales,133
506080469431400,CABE- Comité Amplio para la Búsqueda de Equidad,These ads ran without a disclaimer,≤100
234021273710642,The Kodel Party,These ads ran without a disclaimer,≤100
294571204598870,Ignerick,These ads ran without a disclaimer,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,1629
1469351336716394,Grupo Silva,These ads ran without a disclaimer,≤100
104516389641870,Juan Dalmau Ramírez,Partido Independentista,≤100
356564478349574,Caribbean Business Report,These ads ran without a disclaimer,≤100
