Series ID,Year,Period,Label,Value
LASST010000000000003,2016,M04,2016 Apr,5.9
LASST010000000000003,2016,M05,2016 May,5.8
LASST010000000000003,2016,M06,2016 Jun,5.8
LASST010000000000003,2016,M07,2016 Jul,5.8
LASST010000000000003,2016,M08,2016 Aug,5.8
LASST010000000000003,2016,M09,2016 Sep,5.9
LASST010000000000003,2016,M10,2016 Oct,5.9
LASST010000000000003,2016,M11,2016 Nov,5.8
LASST010000000000003,2016,M12,2016 Dec,5.7
LASST010000000000003,2017,M01,2017 Jan,5.5
LASST010000000000003,2017,M02,2017 Feb,5.2
LASST010000000000003,2017,M03,2017 Mar,5.0
LASST010000000000003,2017,M04,2017 Apr,4.7
LASST010000000000003,2017,M05,2017 May,4.5
LASST010000000000003,2017,M06,2017 Jun,4.3
LASST010000000000003,2017,M07,2017 Jul,4.2
LASST010000000000003,2017,M08,2017 Aug,4.1
LASST010000000000003,2017,M09,2017 Sep,4.0
LASST010000000000003,2017,M10,2017 Oct,3.9
LASST010000000000003,2017,M11,2017 Nov,3.9
LASST010000000000003,2017,M12,2017 Dec,3.9
LASST010000000000003,2018,M01,2018 Jan,3.9
LASST010000000000003,2018,M02,2018 Feb,4.0
LASST010000000000003,2018,M03,2018 Mar,4.0
LASST010000000000003,2018,M04,2018 Apr,4.1
LASST010000000000003,2018,M05,2018 May,4.1
LASST010000000000003,2018,M06,2018 Jun,4.1
LASST010000000000003,2018,M07,2018 Jul,4.0
LASST010000000000003,2018,M08,2018 Aug,3.9
LASST010000000000003,2018,M09,2018 Sep,3.8
LASST010000000000003,2018,M10,2018 Oct,3.8
LASST010000000000003,2018,M11,2018 Nov,3.8
LASST010000000000003,2018,M12,2018 Dec,3.8
LASST010000000000003,2019,M01,2019 Jan,3.8
LASST010000000000003,2019,M02,2019 Feb,3.7
LASST020000000000003,1976,M01,1976 Jan,7.1
LASST020000000000003,1976,M02,1976 Feb,7.1
LASST020000000000003,1976,M03,1976 Mar,7.0
LASST020000000000003,1976,M04,1976 Apr,7.0
LASST020000000000003,1976,M05,1976 May,7.0
LASST020000000000003,1976,M06,1976 Jun,7.1
LASST020000000000003,1976,M07,1976 Jul,7.3
LASST020000000000003,1976,M08,1976 Aug,7.6
